record.id	node.id	part_age	cont_age	w	m	c
1045	1009	76	8	200332	0.0355126203653018	1.7726883555948e-07
1046	1010	77	8	200332	0.0292368705408111	1.45942088836587e-07
1047	1011	78	8	200332	0.02401698417631	1.19885910270501e-07
1048	1012	79	8	200332	0.0198875392979389	9.92729034699344e-08
1049	1013	80	8	200332	0.0166070001291436	8.28973909766965e-08
1050	1014	81	8	200332	0.0141732343251253	7.0748728735925e-08
1051	1015	82	8	200332	0.0123898127710048	6.18463988329613e-08
1052	1016	83	8	200332	0.0110822137469425	5.53192387983074e-08
1053	1017	84	8	200332	0.0101294565022718	5.05633473547501e-08
1054	1018	85	8	200332	0.00945416285305328	4.71924747571695e-08
1055	1019	86	8	200332	0.00900181382157615	4.49344778746089e-08
1056	1020	87	8	200332	0.00873108820081674	4.35830930695882e-08
1057	1021	88	8	200332	0.00861156074893593	4.29864462439147e-08
1058	1022	89	8	200332	0.00862256390212825	4.3041370835055e-08
1059	1023	90	8	200332	0.00875088450839381	4.36819105704221e-08
1060	1024	91	8	200332	0.00898617752103775	4.48564259381314e-08
1061	1025	92	8	200332	0.00931987190278307	4.65221327735113e-08
1062	1026	93	8	200332	0.00974559913322594	4.86472412456619e-08
1063	1027	94	8	200332	0.0102592937947302	5.12114579534483e-08
1064	1028	95	8	200332	0.0108592435256874	5.42062352778759e-08
1065	1029	96	8	200332	0.0115459228304274	5.76339418087344e-08
1066	1030	97	8	200332	0.012321755900227	6.15066784149664e-08
1067	1031	98	8	200332	0.0131906792725052	6.58440951645526e-08
1068	1032	99	8	200332	0.0141576409271046	7.0670890956535e-08
1069	1033	100	8	200332	0.0152281552545048	7.60145920497214e-08
1070	1034	101	8	200332	0.01640800650272	8.19040717544874e-08
1071	1035	102	8	200332	0.0177030883610557	8.83687496808083e-08
1072	1036	103	8	200332	0.0191195077817516	9.54391099861808e-08
1073	1037	104	8	200332	0.0206638912207631	1.03148230041946e-07
1074	1038	105	8	200332	0.0223438941165392	1.11534323605511e-07
1075	1039	106	8	200332	0.0241687349659143	1.20643406774326e-07
1076	1040	107	8	200332	0.0261495562403548	1.30531099576477e-07
1077	1041	108	8	200332	0.0282995632083144	1.41263318932145e-07
1078	1042	109	8	200332	0.0306339313610911	1.52915816549983e-07
1079	1043	110	8	200332	0.0331695574986312	1.65572936418701e-07
1080	1044	111	8	200332	0.0359247264026961	1.79325950934929e-07
1081	1045	112	8	200332	0.0389187670174064	1.94271344654905e-07
1082	1046	113	8	200332	0.0421718093282038	2.10509600703851e-07
1083	1047	114	8	200332	0.0457047890349855	2.28145224102917e-07
1084	1048	115	8	200332	0.0495398485780893	2.4728874357611e-07
1085	1049	116	8	200332	0.0537010395245348	2.68060217661356e-07
1086	1050	117	8	200332	0.0582148535175561	2.90591885058583e-07
1087	1051	118	8	200332	0.0631102250796616	3.15028178621796e-07
1088	1052	119	8	200332	0.0684184824804559	3.41525480105305e-07
1089	1053	120	8	200332	0.0741736228823463	3.70253493612335e-07
1090	10	0	9	194425	0.0421689038834407	2.16890337577167e-07
1091	130	1	9	194425	0.0633621571238855	3.25895111862597e-07
1092	249	2	9	194425	0.0934437100126994	4.80615713065189e-07
1093	367	3	9	194425	0.13559214034048	6.97400747540078e-07
1094	484	4	9	194425	0.198863104210864	1.02282681862345e-06
1095	600	5	9	194425	0.307786006385669	1.58305776718873e-06
1096	715	6	9	194425	0.510709218510425	2.62676722906223e-06
1097	829	7	9	194425	0.907165745249321	4.66589042175297e-06
1098	942	8	9	194425	1.78746006441712	9.19357111697117e-06
1099	1054	9	9	194425	3.55882085323194	1.83043376789607e-05
1100	1055	10	9	194425	1.67937722393926	8.63766091777941e-06
1101	1056	11	9	194425	0.835934197468667	4.29952011042133e-06
1102	1057	12	9	194425	0.458064029506233	2.35599346537859e-06
1103	1058	13	9	194425	0.275056722875779	1.41471890382296e-06
1104	1059	14	9	194425	0.172693019537178	8.88224351483491e-07
1105	1060	15	9	194425	0.113349026831678	5.82996151892389e-07
1106	1061	16	9	194425	0.0798516714017868	4.10706809318692e-07
1107	1062	17	9	194425	0.0599313797745415	3.08249349489734e-07
1108	1063	18	9	194425	0.0487009199468112	2.50486922704442e-07
1109	1064	19	9	194425	0.0422439201831529	2.17276174273642e-07
1110	1065	20	9	194425	0.0382791798058484	1.9688404169139e-07
1111	1066	21	9	194425	0.0362565893375846	1.86481107561191e-07
1112	1067	22	9	194425	0.0364720426692258	1.87589264082427e-07
1113	1068	23	9	194425	0.0386636710999695	1.98861623247882e-07
1114	1069	24	9	194425	0.0415305161505604	2.13606872318685e-07
1115	1070	25	9	194425	0.0455108913348731	2.340794205214e-07
1116	1071	26	9	194425	0.049494634878077	2.54569293445169e-07
1117	1072	27	9	194425	0.0527111578233091	2.71113065826458e-07
1118	1073	28	9	194425	0.0566378041242772	2.91309266422925e-07
1119	1074	29	9	194425	0.0626266498297054	3.22112124622376e-07
1120	1075	30	9	194425	0.0718813907161756	3.69712694952684e-07
1121	1076	31	9	194425	0.0861330211811717	4.43014124629918e-07
1122	1077	32	9	194425	0.107208053645526	5.51410845547258e-07
1123	1078	33	9	194425	0.129587564218491	6.6651698196472e-07
1124	1079	34	9	194425	0.141593906315934	7.28270059487893e-07
1125	1080	35	9	194425	0.155083618256809	7.97652659158076e-07
1126	1081	36	9	194425	0.172258258301572	8.85988212943666e-07
1127	1082	37	9	194425	0.196741444429555	1.01191433421399e-06
1128	1083	38	9	194425	0.220211852904313	1.13263136378713e-06
1129	1084	39	9	194425	0.236751380976636	1.21770030076706e-06
1130	1085	40	9	194425	0.238899064309825	1.22874663397107e-06
1131	1086	41	9	194425	0.229225768097456	1.17899327811473e-06
1132	1087	42	9	194425	0.213611119175365	1.09868133817855e-06
1133	1088	43	9	194425	0.192573164893714	9.90475324128655e-07
1134	1089	44	9	194425	0.172479625302498	8.87126785662841e-07
1135	1090	45	9	194425	0.161063543174992	8.28409634434833e-07
1136	1091	46	9	194425	0.156998078231777	8.07499437992938e-07
1137	1092	47	9	194425	0.155943085776421	8.02073219886441e-07
1138	1093	48	9	194425	0.147152368669874	7.56859296231834e-07
1139	1094	49	9	194425	0.13225247527631	6.80223609496258e-07
1140	1095	50	9	194425	0.10606767318221	5.45545445195886e-07
1141	1096	51	9	194425	0.0830483755441156	4.27148646234361e-07
1142	1097	52	9	194425	0.0667611855775588	3.43377577870947e-07
1143	1098	53	9	194425	0.0567479575988986	2.91875826662716e-07
1144	1099	54	9	194425	0.0501330487487213	2.57852893139881e-07
1145	1100	55	9	194425	0.0458024894218383	2.35579217805521e-07
1146	1101	56	9	194425	0.0430922020445707	2.21639203006664e-07
1147	1102	57	9	194425	0.0416518357098638	2.14230863879973e-07
1148	1103	58	9	194425	0.041145663353429	2.11627431417919e-07
1149	1104	59	9	194425	0.0417982433351951	2.14983892684558e-07
1150	1105	60	9	194425	0.0427721055277867	2.19992827711388e-07
1151	1106	61	9	194425	0.0436726669026118	2.24624749402658e-07
1152	1107	62	9	194425	0.0444464748411464	2.28604731084718e-07
1153	1108	63	9	194425	0.0452525476640588	2.32750663052893e-07
1154	1109	64	9	194425	0.0465121055176101	2.39229036994266e-07
1155	1110	65	9	194425	0.0492165368520309	2.53138931989358e-07
1156	1111	66	9	194425	0.0523757060805189	2.69387712899673e-07
1157	1112	67	9	194425	0.0546873325472339	2.81277266541e-07
1158	1113	68	9	194425	0.0551338000867235	2.83573614950359e-07
1159	1114	69	9	194425	0.0550717025876699	2.83254224444747e-07
1160	1115	70	9	194425	0.0550625334125844	2.83207063971117e-07
1161	1116	71	9	194425	0.0552158937202894	2.83995853003932e-07
